examId,section,qno,field,value
topik2-35,listening,10,option1,""
topik2-35,listening,10,option2,""
topik2-35,listening,10,option3,""
topik2-35,listening,10,option4,""
topik2-35,listening,11,option1,""
topik2-35,listening,11,option2,""
topik2-35,listening,11,option3,""
topik2-35,listening,11,option4,""
topik2-35,listening,12,option1,""
topik2-35,listening,12,option2,""
topik2-35,listening,12,option3,""
topik2-35,listening,12,option4,""
topik2-35,listening,13,option1,""
topik2-35,listening,13,option2,""
topik2-35,listening,13,option3,""
topik2-35,listening,13,option4,""
topik2-35,listening,14,option1,""
topik2-35,listening,14,option2,""
topik2-35,listening,14,option3,""
topik2-35,listening,14,option4,""
topik2-35,listening,15,option1,""
topik2-35,listening,15,option2,""
topik2-35,listening,15,option3,""
topik2-35,listening,15,option4,""
topik2-35,listening,16,option1,""
topik2-35,listening,16,option2,""
topik2-35,listening,16,option3,""
topik2-35,listening,16,option4,""
topik2-35,listening,17,option1,""
topik2-35,listening,17,option2,""
topik2-35,listening,17,option3,""
topik2-35,listening,17,option4,""
topik2-35,listening,18,option1,""
topik2-35,listening,18,option2,""
topik2-35,listening,18,option3,""
topik2-35,listening,18,option4,""
topik2-35,listening,19,option1,""
topik2-35,listening,19,option2,""
topik2-35,listening,19,option3,""
topik2-35,listening,19,option4,""
topik2-35,listening,20,option1,""
topik2-35,listening,20,option2,""
topik2-35,listening,20,option3,""
topik2-35,listening,20,option4,""
topik2-35,reading,41,question,"[cau hoi khong doc duoc - xem PDF goc]"
topik2-35,reading,41,option1,""
topik2-35,reading,41,option2,""
topik2-35,reading,41,option3,""
topik2-35,reading,41,option4,""
